state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/29/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/30/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/30/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/19/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/21/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/21/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/21/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/21/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/21/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/21/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/9/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/9/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/9/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/9/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ND,BURLEIGH,38015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/14/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
